"columna_1","columna_2"
"Airbnb me robó 50 usd","Me estafaron con 50 usd. Planeo continuar hasta lo ultimo. serán 50 usd miserables pero son mios. Publiquen por dentro de Airbnb pero alquilen por fuera. Airbnb es estafa. Tocan tu billetera y te descuentan sin motivo justificable. Obviamente si reclamás te dicen el tipico ""lamentamos las molestias etc, etc, etc."" pero el dinero robado no te lo reintegran jamás. Ladrones los dueños y quienes trabajan para ellos y defienden su estafa."
"Poco de fiar ,como anfitrión nefasta…","Poco de fiar ,como anfitrión nefasta ,tuve un piso allí en alquiler ,no respetan tu privacidad y utilizan tus datos ,sin tu autorización."
"Pésimo en cuanto hay cualquier problema","Reservé en Sevilla (en Hommy Home Sevilla SL (U)) del 23 al 26 de enero.  El 18 de enero tuvo lugar la tragedia ferroviaria de Adamuz, quedando cortada la línea durante un par de semanas.  Le pedí al anfitrión ,desde que se supo,  que, dadas las excepcionales circunstancias,  me permitiese cancelar o cambiar fechas y se negó en redondo, diciéndome que me alquilase un coche.  Diez horas de coche para tres días de descanso (que era el propósito de mi viaje,  suelo ir a Sevilla y lo necesitaba mucho, por motivos de salud) rompía el propósito del viaje. Trasladado esto a Airbnb, su soporte fue CERO, trasladando todo el control al anfitrión y, lo que es peor,  que reclamase a RENFE. Como si Renfe tuviese la culpa de nada.  Esta empresa IRLANDESA se dedica a llenar el centro de nuestras ciudades de pisos turísticos, sin ningún control, convirtiéndolos en inhabitables y, cuando hai algún problema, como los derivados de la tragedia de Adamuz, se la pela. CERO SENSIBILIDAD, CERO AYUDA. Paremos los pies a Aitbnb antes de que sea tarde.  Dejemos de usar sus servicios, usemos alternativas con unos mínimos escrúpulos. Apoyemos todas aquellas iniciativas consistentes en freír a impuestos y tanto a Airbnb como a los anfitriones."
"Airbnb no se responsabilizo por la cancelación","Nuestro alojamiento quedó inhabitable por una inundación causada por un temporal, situación que fue confirmada por el propio anfitrión y documentada con pruebas. A pesar de tratarse de una emergencia real y ajena a nosotras, Airbnb se limitó a ofrecernos un reembolso, dejándonos sin alojamiento para el mismo día y con muy poca antelación.Las únicas alternativas que nos facilitaron eran mucho más caras, sin asumir la diferencia ni garantizar un realojo efectivo. En la práctica, nos dejaron completamente tiradas. La supuesta cobertura AirCover no funcionó como un seguro real ni como una ayuda en una situación de urgencia.Tuvimos que reservar por otra plataforma (Booking) para no quedarnos sin sitio donde dormir.Gestión fría, poco empática y totalmente insuficiente para una empresa que se presenta como respaldo en casos de emergencia.No volveríamos a confiar en Airbnb en una situación crítica."
"Nuestro alojamiento quedó inhabitable…","Nuestro alojamiento quedó inhabitable por una inundación causada por un temporal, situación que fue confirmada por el propio anfitrión y documentada con pruebas. A pesar de tratarse de una emergencia real y ajena a nosotras, Airbnb se limitó a ofrecernos un reembolso, dejándonos sin alojamiento para el mismo día y con muy poca antelación.Las únicas alternativas que nos facilitaron eran mucho más caras, sin asumir la diferencia ni garantizar un realojo efectivo. En la práctica, nos dejaron completamente tiradas. La supuesta cobertura AirCover no funcionó como un seguro real ni como una ayuda en una situación de urgencia.Tuvimos que reservar por otra plataforma (Booking) para no quedarnos sin sitio donde dormir.Gestión fría, poco empática y totalmente insuficiente para una empresa que se presenta como respaldo en casos de emergencia.No volveríamos a confiar en Airbnb en una situación crítica."
"NOS CANCELARON 24 H ANTES SIN ALTERNATIVA JUSTA","Teníamos un apartamento alquilado en París para 4 días, 24 horas antes de llegar nos comunicaron la cancelación de la reserva, me ""ofrecieron"" alternativas que no tenían nada que ver con el apartamento cancelado, ya que para nosotros era importante la ubicación y un bono de 20€ para que reserváramos. Tuve que buscar por booking un hotel que no se disparara demasiado de precio y de ubicación similar ( lo unico que encontre y me podía permitir era de lo peor). En definitiva, nos dejaron tirados, no nos apoyaron ni respaldaron, ni buscaron una solución real. Me pidieron disculpas, pero eso no soluciona nada. Me devolvieron el dinero pero no a mi cuenta, a un credito suyo para que vuelva a alquilar con ellos, cosa que no va a suceder porque he perdido toda la confianza que les habia depositado durante muchos años."
"No se hacen cargo de nada","No se hacen cargo de nada, te dejan totalmente vendido cuando tienes algún problema con el apartamento reservado. Reservo un apartamento que claramente me decía en mensaje anterior tenía calefacción, llegamos al apartamento y nada, engaño total… reclamo al propietario y ni caso, reclamo a Airbnb y tampoco, muy buenas palabras al principio pero te buscaremos una solución y te llamaremos y nada de nada… te dejan totalmente abandonado… una auténtica vergüenza. No valen para nada"
"No se responsabilizan de nada","No se responsabilizan de nada. Solamente cobran por no hacer nada"
"ESTAFA","He estado en un Airbnb en Tánger. Nada que ver con la descripción, sobre todo referente a la calefacción. Ni chiminea, ni calefactor en el salon. Reclamé via wspp a los contactos, no dando una solución. Reclamación hecha a Airbnb, les paso todos los wspp, pantallazos, fechas y horas y me dicen que: 1.- el interlocutor no figura en su base de datos y 2.- La información que mando no la pueden verificar como cierta. Resultado: me cierran reclamación y búscate la vida. Unos incompetentes que me han mareado con solicitud de información para nada. Aviso: si reclamáis al propietario, hacezlo via chat de la plataforma, porque si no, no sirve para nada"
"Alquilé esta propiedad por 215€","Alquilé esta propiedad por 215€, que pagué en su totalidad tal como se anunciaba. Al día siguiente, se me pidió pagar 300€ adicionales, alegando que no todos los gastos estaban incluidos, algo que nunca se mencionó claramente en el anuncio.Esta situación es inaceptable. Me siento engañado y decepcionado por la falta de transparencia. Los cargos ocultos después del pago son injustos y poco profesionales.Además, se quedan con el dinero, lo que me deja extremadamente frustrado y sin ninguna solución. La empresa que gestiona esta propiedad opera de una manera que parece una estafa.En general, fue una experiencia muy negativa, y recomiendo encarecidamente evitar este alojamiento y la empresa que está detrás."
"Venden humo","Venden alojamientos que no existen,cobrandolos,una autentica estafa,porque vender algo que no existe....y la devolucion del dinero una odisea,intentan quedarselo a toda costa con infinidad de pegas"
"Nefasto todo","Nefasto todo:- La cantidad de pasos para darte de alta- Una vez que los has conseguido puede haber una diferencia entre el precio que figura y el que luego te pide el propietario. En mi caso fue de casi 2000€. O sea no te fie de los precios que ponen.-Desde que lo contratas hasta que recibes la confirmación de propietario, pasa un tiempo. -Parece ser que los márgenes que se lleva esta plataforma son abusivos. Por un lado cobran a los propietarios y por otra a los inquilinos  No se como la usan los propietarios."
"Cambió de fechas el buscador","Cambio de fechas el buscador, hice la reserva y aunque inmediatamente anule la reserva ,me penalizaron con la devolución quedándose el importe del seguro.La anulación fue simultánea y ya no permitieron el reintegro total.Un robo camuflado de servicio"
"HORRIBLE","HORRIBLE, tuve que cancelar la reserva HMHMRB5YFF  por ingreso en hospital, con parte medico y por una neumonia, algo bastante serio. Aun asi no te reembolsan nada, su politica de circunstancias excepcionales no cubre esto. Me dijeron que solo el propiertario del piso me puede reembolsar. Eso si te cobran por todo y luego para nada. 200 euros a la basura."
"Trata muy mal a los anfitriones…","Trata muy mal a los anfitriones Superhost que damos el mejor servicio a sus guest, no se puede confiar en esta plataforma de airbnb presumen de un seguro cover cuando los guest rompen o pierden llaves etc Y NO HACEN NI CASO. La atención es de robots o personas sin experiencia que contratan en India para valorar las reseñas MUY MAL hay que ir emigrando a otras plataformas que atiendan mejor a los anfitriones NO SE PUEDE CONFIAR EN ESTA PLATAFORMA QUE DEJA TOTALMENTE DESAMPARADO Y SI PROTECCIÓN A LOS SUPERHOST"
"Decepción absoluta","Después de 10 años en la plataforma manteniendo el status de superhost ( nada fácil de conseguir por otro lado) he decidido dejar de formar parte de una comunidad en la que no creo. Me han defraudado profundamente tanto como huésped como anfitriona. Este verano me estafaron unos anfitriones que se anunciaban en su página y no recibí ninguna tipo de asistencia, de hecho estas personas siguen anunciadas como si nada. Una huésped provocó varios desperfectos e incumplió prácticamente todas las normas de casa y tampoco hicieron nada al respecto.  Hay demasiadas plataformas que ofrecen los mismos servicios, me niego a seguir haciéndoles ganar dinero a mi costa. Hasta nunca Airbnb!"
"No me reconocen pago rebotado por entidad bancaria","Me transfirieron a una cuenta de banco cerrada, y aunque el banco me dice que rebotaron el pago, AirBnB no lo reconoce, así que he hospedado a alguien gratis, y el banco (santander) o AirBnN se quedaron con el pago.   Horrible, no se hacen cargo ni investigan."
"Muertas de frío y sin solución","Les doy una Estrella porque no pudo dar menos.El finde pasado estuvimos en Madrid con mis tres niñas pequeñas. Al llegar al alojamiento y después de preguntarle a la anfitriona descubro que nos ha dejado una toalla para 5 personas. Las mantas eran un papel de fumar y los calefactores si los enchufaba saltaban los plomos. Aviso a la anfitriona y pongo una queja. Me devuelven 28€, lo que es una vergüenza ya que me gasté el triple en mantas para mis hijas y toallas. No los uséis nunca por vuestro bien"
"No se hacen cargo de nada","No se hacen cargo de nada, falta de profesionalidad y problemas con esta plataforma. Lo q no entiendo es q no la regulen"
"Son unos estafadores","Son unos estafadores, no podremos viajar por fuerza mayor, debido a que mi hermano le han fijado una operación para dentro de tres semanas, coincidiendo con las fechas que habíamos elegido para viajar, mi hermano llevaba seis años esperando la citación de esta operación grave, por lo que es totalmente imposible que podamos viajar, 1522€ regalados a una empresa de estafadores. Además de hacer eco con mis reseñas y redes sociales, también he denunciado ante consumo, y seguiré insistiendo por todas las vías posibles."
